iteration,rmse,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
330,2828.70068359375,2022-06-04 03:36:00.804463,2022-06-04 03:42:39.465695,0 days 00:06:38.661232,144.0,1954.0,123.0,157.0,1000.0,1193.0,COMPLETE
22,2828.7421875,2022-06-02 17:49:48.334025,2022-06-02 17:52:26.527046,0 days 00:02:38.193021,133.0,1558.0,121.0,45.0,460.0,777.0,COMPLETE
103,2828.747314453125,2022-06-03 01:10:31.072973,2022-06-03 01:19:51.005251,0 days 00:09:19.932278,179.0,1855.0,123.0,180.0,985.0,1652.0,COMPLETE
54,2828.750244140625,2022-06-02 20:07:07.179324,2022-06-02 20:11:00.067083,0 days 00:03:52.887759,162.0,1506.0,120.0,119.0,941.0,791.0,COMPLETE
428,2828.772705078125,2022-06-04 11:15:59.835976,2022-06-04 11:19:20.412878,0 days 00:03:20.576902,141.0,1891.0,123.0,145.0,985.0,574.0,COMPLETE
177,2828.778564453125,2022-06-03 07:28:42.065716,2022-06-03 07:31:08.625608,0 days 00:02:26.559892,155.0,1825.0,123.0,150.0,913.0,521.0,COMPLETE
51,2828.80517578125,2022-06-02 19:55:28.188988,2022-06-02 19:59:14.270143,0 days 00:03:46.081155,164.0,1516.0,121.0,126.0,737.0,834.0,COMPLETE
394,2828.83154296875,2022-06-04 08:41:41.984109,2022-06-04 08:51:37.831800,0 days 00:09:55.847691,155.0,1882.0,123.0,146.0,958.0,1755.0,COMPLETE
61,2828.850830078125,2022-06-02 20:38:48.050856,2022-06-02 20:42:48.513814,0 days 00:04:00.462958,163.0,1520.0,120.0,119.0,781.0,858.0,COMPLETE
278,2828.921142578125,2022-06-04 00:03:35.296095,2022-06-04 00:06:34.429288,0 days 00:02:59.133193,103.0,1828.0,123.0,161.0,987.0,522.0,COMPLETE
224,2828.9326171875,2022-06-03 10:04:06.194529,2022-06-03 10:11:29.203095,0 days 00:07:23.008566,118.0,1999.0,123.0,148.0,985.0,1283.0,COMPLETE
325,2828.96484375,2022-06-04 03:19:01.046962,2022-06-04 03:21:24.287629,0 days 00:02:23.240667,111.0,1723.0,123.0,145.0,575.0,633.0,COMPLETE
172,2829.052734375,2022-06-03 06:55:45.051229,2022-06-03 07:03:35.263675,0 days 00:07:50.212446,151.0,1790.0,123.0,146.0,964.0,1394.0,COMPLETE
365,2829.086669921875,2022-06-04 06:17:12.562078,2022-06-04 06:21:11.275126,0 days 00:03:58.713048,158.0,1802.0,123.0,176.0,606.0,1091.0,COMPLETE
462,2829.146728515625,2022-06-04 14:25:51.996326,2022-06-04 14:34:16.002506,0 days 00:08:24.006180,177.0,1946.0,123.0,168.0,987.0,1480.0,COMPLETE
431,2829.162109375,2022-06-04 11:29:12.187175,2022-06-04 11:36:17.934398,0 days 00:07:05.747223,133.0,1961.0,123.0,165.0,962.0,1281.0,COMPLETE
248,2829.169189453125,2022-06-03 11:42:02.582781,2022-06-03 11:44:49.192776,0 days 00:02:46.609995,119.0,1776.0,123.0,187.0,936.0,623.0,COMPLETE
