iteration,rmse,datetime_start,datetime_complete,duration,depth,l2_leaf_reg,min_data_in_leaf,n_estimators,one_hot_max_size,state
493,2419.96540335954,2023-01-30 15:41:24.946387,2023-01-30 15:41:46.628915,0 days 00:00:21.682528,10,0.8,20,500,20,COMPLETE
492,2419.96540335954,2023-01-30 15:40:59.663585,2023-01-30 15:41:20.405154,0 days 00:00:20.741569,10,0.8,20,500,5,COMPLETE
491,2419.96540335954,2023-01-30 15:40:33.268582,2023-01-30 15:40:55.380284,0 days 00:00:22.111702,10,0.8,20,500,5,COMPLETE
490,2419.96540335954,2023-01-30 15:40:06.027417,2023-01-30 15:40:27.622521,0 days 00:00:21.595104,10,0.8,20,500,5,COMPLETE
489,2419.96540335954,2023-01-30 15:39:37.606545,2023-01-30 15:39:58.946082,0 days 00:00:21.339537,10,0.8,20,500,5,COMPLETE
488,2419.96540335954,2023-01-30 15:39:09.555957,2023-01-30 15:39:30.121128,0 days 00:00:20.565171,10,0.8,20,500,5,COMPLETE
487,2419.96540335954,2023-01-30 15:38:43.222119,2023-01-30 15:39:04.507686,0 days 00:00:21.285567,10,0.8,20,500,5,COMPLETE
486,2419.96540335954,2023-01-30 15:38:15.663161,2023-01-30 15:38:36.536418,0 days 00:00:20.873257,10,0.8,20,500,10,COMPLETE
485,2419.96540335954,2023-01-30 15:37:44.132081,2023-01-30 15:38:09.290872,0 days 00:00:25.158791,10,0.8,20,500,5,COMPLETE
484,2419.96540335954,2023-01-30 15:37:07.321281,2023-01-30 15:37:34.547735,0 days 00:00:27.226454,10,0.8,20,500,5,COMPLETE
483,2419.96540335954,2023-01-30 15:36:40.431030,2023-01-30 15:37:02.046949,0 days 00:00:21.615919,10,0.8,20,500,5,COMPLETE
482,2419.96540335954,2023-01-30 15:36:08.043200,2023-01-30 15:36:29.476980,0 days 00:00:21.433780,10,0.8,20,500,5,COMPLETE
481,2419.96540335954,2023-01-30 15:35:29.462492,2023-01-30 15:35:57.948810,0 days 00:00:28.486318,10,0.8,20,500,5,COMPLETE
480,2419.96540335954,2023-01-30 15:34:43.201298,2023-01-30 15:35:04.936984,0 days 00:00:21.735686,10,0.8,20,500,5,COMPLETE
479,2419.96540335954,2023-01-30 15:34:16.537852,2023-01-30 15:34:38.309044,0 days 00:00:21.771192,10,0.8,20,500,5,COMPLETE
478,2419.96540335954,2023-01-30 15:33:39.941832,2023-01-30 15:34:11.785836,0 days 00:00:31.844004,10,0.8,20,500,5,COMPLETE
477,2419.96540335954,2023-01-30 15:33:04.515391,2023-01-30 15:33:35.801907,0 days 00:00:31.286516,10,0.8,20,500,5,COMPLETE
475,2419.96540335954,2023-01-30 15:32:12.644873,2023-01-30 15:32:33.997735,0 days 00:00:21.352862,10,0.8,20,500,5,COMPLETE
474,2419.96540335954,2023-01-30 15:31:43.349396,2023-01-30 15:32:04.120674,0 days 00:00:20.771278,10,0.8,20,500,5,COMPLETE
473,2419.96540335954,2023-01-30 15:31:13.606760,2023-01-30 15:31:38.599330,0 days 00:00:24.992570,10,0.8,20,500,5,COMPLETE
472,2419.96540335954,2023-01-30 15:30:47.234929,2023-01-30 15:31:09.026181,0 days 00:00:21.791252,10,0.8,20,500,5,COMPLETE
471,2419.96540335954,2023-01-30 15:30:20.587113,2023-01-30 15:30:42.190787,0 days 00:00:21.603674,10,0.8,20,500,5,COMPLETE
